id;latitude;longitude;city;address;image_time;image_id;image_url;image_file;status;typo;user_id
1;45.52033694;10.21517054;Brescia;Brescia, Lamarmora 230, 25124 Brescia BS, Italia;2024-09-18 08:21:17.213641+02;c4fb5646-93fd-4d94-b3bd-dedb91fae06e;/media/uploaded_images/JPEG_20240827_132449_Brescia_Brescia_Labirinto_fr6__X3uXIct.52278716_10.19695884.jpg;uploaded_images/JPEG_20240827_132449_Brescia_Brescia_Labirinto_fr6__X3uXIct.52278716_10.19695884.jpg;0;censimento;
10;45.53151803;10.20498714;Brescia;Via Toscana, 40, 25125 Brescia BS, Italia;2024-09-18 10:04:57.958754+02;a2ec2280-bd81-434a-be58-f73b2dfbcc6e;/media/uploaded_images/JPEG_20240828_094740_Brescia_Via_Toscana_34_25125_Br_bB7XrW6.53179995_10.2050489.jpg;uploaded_images/JPEG_20240828_094740_Brescia_Via_Toscana_34_25125_Br_bB7XrW6.53179995_10.2050489.jpg;0;censimento;
13;45.53190044;10.20516661;Brescia;Via Toscana, 53, 25125 Brescia BS, Italia;2024-09-18 16:22:44.266428+02;8edb4fee-c8ea-4fa9-87ce-fea442572b87;/media/uploaded_images/JPEG_20240828_094558_Brescia_Via_Toscana_28_25125_Br_j3GkrIi.5320455_10.20503889.jpg;uploaded_images/JPEG_20240828_094558_Brescia_Via_Toscana_28_25125_Br_j3GkrIi.5320455_10.20503889.jpg;In elaborazioneeeeeee;censimento;
186;45.5250352;10.21963838;Brescia;Via S. Zeno, 92, 25124 Brescia BS, Italia;2024-11-30 13:41:56.686018+01;f58c224f-1744-4353-a556-d3c287525d99;/media/uploaded_images/JPEG_20241130_135743_Brescia_Via_Alessandro_Lamarmo_aETBBxF.52139606_10.21558053.jpg;uploaded_images/JPEG_20241130_135743_Brescia_Via_Alessandro_Lamarmo_aETBBxF.52139606_10.21558053.jpg;In elaborazioneeeeeee;tronchi;
159;45.52407209;10.21710875;Brescia;Piazza Monsignor Giuseppe Almici, n. 13, 25124 Brescia;2024-11-05 13:20:17.452511+01;a34a2994-e93a-4e1a-9fbf-cbfbc58d1306;/media/uploaded_images/JPEG_20240920_112553_Brescia_2829_Piazza_Monsignor__Ysl97iJ.52334278_10.21830984.jpg;uploaded_images/JPEG_20240920_112553_Brescia_2829_Piazza_Monsignor__Ysl97iJ.52334278_10.21830984.jpg;0;censimento;
153;45.52487454;10.21960226;Brescia;Via S. Zeno, 94d, 25124 Brescia BS, Italia;2024-11-05 13:13:28.033732+01;2bdd2997-0340-4795-8121-2bea4b61fac7;/media/uploaded_images/JPEG_20240927_104135_Brescia_Via_S_Zeno_77_25124_Br_526SF5g.52511704_10.21967774.jpg;uploaded_images/JPEG_20240927_104135_Brescia_Via_S_Zeno_77_25124_Br_526SF5g.52511704_10.21967774.jpg;0;tronchi;
230;45.52455619;10.2188946;Brescia;Via S. Zeno, 102, 25124 Brescia BS, Italia;2025-03-19 23:31:50.139233+01;22ed855c-fde3-4b70-9877-75112fdc0998;/media/uploaded_images/JPEG_20250318_125134_Brescia_Via_Pietro_Nenni_30_251_m1VM7Mw.52617841_10.2197804.jpg;uploaded_images/JPEG_20250318_125134_Brescia_Via_Pietro_Nenni_30_251_m1VM7Mw.52617841_10.2197804.jpg;In elaborazioneeeeeee;rifiuti;
2;45.52057221;10.21517244;Brescia;Giardino Pubblico, Via Alessandro Lamarmora, 25124;2024-09-18 08:21:17.947938+02;2d1f4802-ae8c-46c8-be7e-7a597fde168d;/media/uploaded_images/JPEG_20240827_132509_Brescia_Brescia_Lamarmora_230__SIj9Qbw.52033694_10.21517054.jpg;uploaded_images/JPEG_20240827_132509_Brescia_Brescia_Lamarmora_230__SIj9Qbw.52033694_10.21517054.jpg;0;censimento;
17;45.53203948;10.20509966;Brescia;Via Toscana, 28, 25125 Brescia BS, Italia;2024-09-18 16:24:48.689653+02;2a4ff4be-9f42-4b06-b2de-7527099023f2;/media/uploaded_images/JPEG_20240828_094414_Brescia_Via_Toscana_28_25125_B_6Rebftg.53204896_10.20511441.jpg;uploaded_images/JPEG_20240828_094414_Brescia_Via_Toscana_28_25125_B_6Rebftg.53204896_10.20511441.jpg;1;censimento;
171;45.52123375;10.21240935;Brescia;Brescia, Lamarmora 138/a, 25124 Brescia BS, Italia;2024-11-05 14:52:00.299502+01;1aca5803-0ed3-487c-8c01-c2c17c5a1b07;/media/uploaded_images/JPEG_20240903_180237_Brescia_Brescia_Lamarmora_138a_062Rp1X.52106329_10.21249844.jpg;uploaded_images/JPEG_20240903_180237_Brescia_Brescia_Lamarmora_138a_062Rp1X.52106329_10.21249844.jpg;1;rifiuti;
